# d0,mq
8.711483620202014322e+01,-1.156746325849047127e-03
8.711484339393933851e+01,-1.277119015175170319e-03
8.711485058585853380e+01,-1.428816888722034403e-03
8.711485777777772910e+01,-1.663252364966280117e-03
8.711486496969692439e+01,-2.074751025985706321e-03
8.711487216161611968e+01,-3.096161353615042681e-03
8.711487216161611968e+01,-3.096161353615042681e-03
8.711487223353530851e+01,-3.112811827930069171e-03
8.711487230545449734e+01,-3.132385672263998926e-03
8.711487237737368616e+01,-3.152333911949588979e-03
8.711487244929287499e+01,-3.172690249030564978e-03
8.711487252121206382e+01,-3.193422939467092676e-03
8.711487259313125264e+01,-3.214567975276490849e-03
8.711487266505044147e+01,-3.236139250444831830e-03
8.711487273696963030e+01,-3.258151329848133545e-03
8.711487280888881912e+01,-3.280610769964319075e-03
8.711487288080800795e+01,-3.303553120450944229e-03
8.711487295272719678e+01,-3.326984168014455925e-03
8.711487302464638560e+01,-3.350921572784569969e-03
8.711487309656557443e+01,-3.375383887689124059e-03
8.711487316848476326e+01,-3.400390644449926246e-03
8.711487324040395208e+01,-3.425962421549043346e-03
8.711487331232314091e+01,-3.452120909574023233e-03
8.711487338424232973e+01,-3.478888975628574316e-03
8.711487345616151856e+01,-3.506290781950405049e-03
8.711487352808070739e+01,-3.534351870691812298e-03
8.711487359999989621e+01,-3.563115645050435754e-03
8.711487367191908504e+01,-3.592601515773729236e-03
8.711487374383827387e+01,-3.622822479148283051e-03
8.711487381575746269e+01,-3.653787319734352630e-03
8.711487388767665152e+01,-3.685610590282997583e-03
8.711487395959584035e+01,-3.718286382556011509e-03
8.711487403151502917e+01,-3.751853909339099985e-03
8.711487410343421800e+01,-3.789244052683350943e-03
8.711487417535340683e+01,-3.824621780236508919e-03
8.711487424727259565e+01,-3.861012721612123826e-03
8.711487431919178448e+01,-3.898466469900740885e-03
8.711487439111097331e+01,-3.937036115578535986e-03
8.711487446303016213e+01,-3.976800672466410634e-03
8.711487453494935096e+01,-4.017819531490927389e-03
8.711487460686853979e+01,-4.060136907475283066e-03
8.711487467878772861e+01,-4.103836607149575003e-03
8.711487475070691744e+01,-4.148994941632858091e-03
8.711487482262610627e+01,-4.195613730019042559e-03
8.711487489454529509e+01,-4.243914641855798218e-03
8.711487496646448392e+01,-4.294200972615489637e-03
8.711487503838367275e+01,-4.346043577250952722e-03
8.711487511030286157e+01,-4.399819994090769897e-03
8.711487518222205040e+01,-4.456039371821843460e-03
8.711487525414123922e+01,-4.514112302220010982e-03
8.711487532606042805e+01,-4.574534021107200081e-03
8.711487539797961688e+01,-4.637469556206178303e-03
8.711487546989880570e+01,-4.705127947240673840e-03
8.711487554181799453e+01,-4.774044815699280547e-03
8.711487561373718336e+01,-4.846147452814549179e-03
8.711487568565637218e+01,-4.913380753774447551e-03
8.711487575757556101e+01,-4.999314213522449216e-03
8.711487582949474984e+01,-5.072834769483477828e-03
8.711487590141393866e+01,-5.158403303811871267e-03
