,T,sigma1,sigma2,sigma3
0,10.0,11.0,25.0,26.0
1,12.244897959183673,15.0,39.0,43.0
2,14.489795918367346,11.0,12.0,116.0
3,16.73469387755102,22.0,23.0,24.0
4,18.97959183673469,27.0,28.0,29.0
5,21.224489795918366,21.0,22.0,29.0
6,23.46938775510204,12.0,22.0,29.0
7,25.714285714285715,11.0,26.0,27.0
8,27.959183673469386,44.0,47.0,48.0
9,30.20408163265306,37.0,38.0,39.0
10,32.44897959183673,58.0,70.0,71.0
11,34.69387755102041,11.0,12.0,16.0
12,36.93877551020408,13.0,23.0,36.0
13,39.183673469387756,11.0,12.0,13.0
14,41.42857142857143,39.0,54.0,59.0
15,43.6734693877551,57.0,68.0,69.0
16,45.91836734693877,114.0,116.0,0.0
17,48.16326530612245,125.0,126.0,137.0
18,50.40816326530612,131.0,134.0,0.0
19,52.65306122448979,136.0,138.0,142.0
20,54.897959183673464,141.0,147.0,160.0
21,57.14285714285714,145.0,152.0,158.0
22,59.38775510204081,148.0,153.0,154.0
23,61.63265306122449,151.0,158.0,159.0
24,63.87755102040816,154.0,162.0,163.0
25,66.12244897959184,156.0,167.0,0.0
26,68.36734693877551,159.0,172.0,173.0
27,70.61224489795919,161.0,176.0,191.0
28,72.85714285714286,163.0,181.0,182.0
29,75.10204081632652,164.0,186.0,187.0
30,77.3469387755102,166.0,196.0,0.0
31,79.59183673469387,167.0,196.0,0.0
32,81.83673469387755,167.0,0.0,0.0
33,84.08163265306122,168.0,0.0,0.0
34,86.3265306122449,168.0,0.0,0.0
35,88.57142857142857,167.0,0.0,0.0
36,90.81632653061224,42.0,91.0,165.0
37,93.06122448979592,25.0,109.0,162.0
38,95.30612244897958,129.0,152.0,0.0
39,97.55102040816325,0.0,0.0,0.0
40,99.79591836734693,0.0,0.0,0.0
41,102.0408163265306,0.0,0.0,0.0
42,104.28571428571428,0.0,0.0,0.0
43,106.53061224489795,0.0,0.0,0.0
44,108.77551020408163,0.0,0.0,0.0
45,111.0204081632653,0.0,0.0,0.0
46,113.26530612244898,0.0,0.0,0.0
47,115.51020408163265,0.0,0.0,0.0
48,117.75510204081633,0.0,0.0,0.0
49,120.0,0.0,0.0,0.0
