,T,sigma
0,10.0,4523371.424857385
1,11.11111111111111,4487969.168568376
2,12.222222222222221,4479536.278499604
3,13.333333333333334,4477341.612749941
4,14.444444444444445,4484416.35153585
5,15.555555555555555,4401248.539235245
6,16.666666666666668,4522029.254462865
7,17.77777777777778,4504200.778937009
8,18.88888888888889,4521691.159860225
9,20.0,4515994.198385997
10,21.11111111111111,4519871.025876652
11,22.22222222222222,4547086.13009796
12,23.333333333333336,4531555.0605149465
13,24.444444444444443,4554842.4399758
14,25.555555555555557,4566569.267376991
15,26.666666666666668,4579928.903756745
16,27.77777777777778,4583924.018228578
17,28.88888888888889,4606854.7144811405
18,30.0,4652024.873031408
19,31.11111111111111,4653259.070553081
20,32.22222222222222,4664570.214570327
21,33.333333333333336,4714661.622745397
22,34.44444444444444,4712195.172725121
23,35.55555555555556,4747102.605821326
24,36.66666666666667,4768406.340724628
25,37.77777777777778,4839522.09476042
26,38.888888888888886,4828058.317375029
27,40.0,4880774.808683254
28,41.111111111111114,4906262.403028375
29,42.22222222222222,4942230.720797789
30,43.333333333333336,5008424.251702043
31,44.44444444444444,5035682.49433297
32,45.55555555555556,5074661.035396853
33,46.66666666666667,5144424.557978622
34,47.77777777777778,5178224.730565261
35,48.88888888888889,5234061.925656961
36,50.0,5288225.241745768
37,51.111111111111114,5353948.412185553
38,52.22222222222222,5381653.152444504
39,53.333333333333336,5446321.012354941
40,54.44444444444444,5524168.920343958
41,55.55555555555556,5587665.7765198825
42,56.66666666666667,5655533.338133763
43,57.77777777777778,5680981.874943961
44,58.88888888888889,5746323.386276695
45,60.0,5815213.8889873745
46,61.111111111111114,5880934.723210389
47,62.22222222222222,5945705.042973333
48,63.333333333333336,6008727.183446629
49,64.44444444444446,6065524.454386001
50,65.55555555555556,6122407.160928724
51,66.66666666666667,6177290.6095030075
52,67.77777777777777,6240868.0099187745
53,68.88888888888889,6310142.209828278
54,70.0,6365074.115892454
55,71.11111111111111,6436787.216551444
56,72.22222222222223,6495986.122657736
57,73.33333333333334,6552477.484729226
58,74.44444444444444,6606310.274319845
59,75.55555555555556,6657338.04260532
60,76.66666666666667,6705400.526830613
61,77.77777777777779,6750356.906889711
62,78.88888888888889,6792021.824013623
63,80.0,6830190.4468274405
64,81.11111111111111,6864075.651160834
65,82.22222222222223,6892730.2995462
66,83.33333333333334,6916478.98279297
67,84.44444444444444,6934983.319516805
68,85.55555555555556,6949344.030469272
69,86.66666666666667,6955634.810193114
70,87.77777777777779,6954577.149624254
71,88.88888888888889,6952247.272712987
72,90.0,6925110.539145626
73,91.11111111111111,6893473.764163014
74,92.22222222222223,6849282.469973134
75,93.33333333333334,6768548.26001614
76,94.44444444444444,6711544.093092737
77,96.66666666666667,6537241.711771662
78,97.77777777777779,6408465.075925647
79,98.88888888888889,6235877.217580504
80,100.0,6009328.223211425
81,101.11111111111111,5721598.577976458
82,102.22222222222223,5291505.159767821
83,103.33333333333334,4312961.452437819
84,103.33333333333334,3819319.815973985
85,102.22222222222223,2748700.299775014
86,101.11111111111111,2225088.8288418925
87,100.0,1831359.3844542888
88,98.88888888888889,1494263.2662275622
89,97.77777777777779,1205710.487285526
90,96.66666666666667,934027.3466575859
91,95.55555555555556,453988.34727458
92,96.66666666666667,345548.83331428556
93,97.77777777777779,300875.985503627
94,98.88888888888889,266505.02546407335
95,100.0,248545.45735517764
96,101.11111111111111,225120.59082200855
97,102.22222222222223,153952.0775052854
98,103.33333333333334,169135.00058185938
99,104.44444444444444,177951.0621052213
100,105.55555555555556,182670.0892241729
101,106.66666666666667,184627.59234144937
102,107.77777777777779,184664.26786650866
103,108.8888888888889,183405.0577042366
104,110.0,181353.70355684482
105,111.11111111111111,178877.91579083065
106,112.22222222222223,176215.9382658316
107,113.33333333333334,173421.00618733352
108,114.44444444444444,169568.4616677954
109,115.55555555555556,165233.72065494873
110,116.66666666666667,159530.6088511872
111,117.77777777777779,152583.81813938505
112,118.8888888888889,143429.37265429168
113,120.0,130819.10223855094
