,T,sigma
0,10.0,7664517.84410592
1,10.441767068273093,7590690.882276286
2,11.76706827309237,7630590.621955913
3,13.092369477911646,7617931.3662349265
4,13.534136546184738,7610158.599752341
5,13.975903614457831,7601187.87044961
6,14.417670682730924,7610350.715142249
7,14.859437751004016,7652650.964604184
8,15.301204819277109,7613690.570772547
9,15.742971887550201,7731970.217428432
10,16.184738955823292,7622938.259870009
11,16.626506024096386,7631474.596418918
12,17.068273092369477,7636619.606890987
13,17.51004016064257,7638417.351539032
14,17.951807228915662,7639718.796531397
15,18.393574297188756,7628814.741892452
16,18.835341365461847,7629480.8983956985
17,19.277108433734938,7633387.776312941
18,19.718875502008032,7689048.478687802
19,20.160642570281126,7650947.217152295
20,20.602409638554217,7635854.901140323
21,21.044176706827308,7717862.805050722
22,21.485943775100402,7640511.142611871
23,21.927710843373493,7647290.205961238
24,22.369477911646584,7662501.682524426
25,22.811244979919678,7651105.168213295
26,23.253012048192772,7673802.5993035985
27,23.694779116465863,7654757.847048773
28,24.136546184738954,7670828.537651472
29,24.57831325301205,7659236.5386513565
30,25.020080321285143,7673354.749138218
31,25.461847389558233,7673022.840760403
32,25.903614457831324,7663305.329919795
33,26.34538152610442,7700474.861703375
34,26.78714859437751,7658388.407414075
35,27.228915662650603,7655325.662560254
36,27.670682730923694,7712656.144728272
37,28.11244979919679,7683354.622748495
38,28.55421686746988,7675536.404105849
39,28.99598393574297,7711831.592575373
40,29.437751004016064,7697605.868552661
41,29.879518072289155,7686887.578534396
42,30.32128514056225,7706208.131924474
43,30.76305220883534,7751256.8905380685
44,31.204819277108435,7709928.408092297
45,31.646586345381525,7703059.693724861
46,32.088353413654616,7729346.61392609
47,32.53012048192771,7774687.659827718
48,32.971887550200805,7732286.352102886
49,33.4136546184739,7728394.821051336
50,33.855421686746986,7733913.456605761
51,34.29718875502008,7778252.552031712
52,34.73895582329317,7854149.271425442
53,35.18072289156626,7757149.169252149
54,35.622489959839356,7761377.669067245
55,36.06425702811245,7768074.6664611865
56,36.506024096385545,7763953.151534993
57,36.94779116465864,7873628.148505869
58,37.389558232931726,7791776.504248442
59,37.83132530120482,7793555.995259774
60,38.27309236947791,7811543.834234902
61,38.714859437751,7817871.134153807
62,39.1566265060241,7794795.738654255
63,39.59839357429719,7808344.272628446
64,40.040160642570285,7826196.004614312
65,40.48192771084337,7829614.574770759
66,40.92369477911647,7849342.451769303
67,41.365461847389554,7880050.245355792
68,41.80722891566265,7887813.86447869
69,42.24899598393574,7922324.857945663
70,42.69076305220884,7881854.131525609
71,43.132530120481924,7900959.568653894
72,43.57429718875502,7904743.939704364
73,44.01606425702811,7917218.11096995
74,44.45783132530121,7938563.778258333
75,44.899598393574294,7968536.866347524
76,45.34136546184739,7984868.873021302
77,45.78313253012048,8051410.859276315
78,46.22489959839358,7968218.568975474
79,46.666666666666664,7968945.268244333
80,47.10843373493976,7993598.625617388
81,47.55020080321285,8002564.345983451
82,47.99196787148594,8021299.683720065
83,48.433734939759034,8044293.631354124
84,48.87550200803213,8074292.682880714
85,49.31726907630522,8126209.487351018
86,49.75903614457831,8158395.907768114
87,50.200803212851405,8074760.703001726
88,50.6425702811245,8110451.071692106
89,51.08433734939759,8105970.650649277
90,51.52610441767068,8164802.402061777
91,51.967871485943775,8150291.905033277
92,52.40963855421687,8151001.016877169
93,52.851405622489956,8174363.920360739
94,53.29317269076305,8201995.999643069
95,53.734939759036145,8235679.450223632
96,54.17670682730924,8280769.851744009
97,54.618473895582326,8214626.885366256
98,55.06024096385542,8230055.873315696
99,55.502008032128515,8244047.189327436
100,55.94377510040161,8272984.107062682
101,56.3855421686747,8285117.077620961
102,56.82730923694779,8316200.834816641
103,57.269076305220885,8391168.904868858
104,57.71084337349397,8379638.745719557
105,58.15261044176707,8399629.740638372
106,58.59437751004016,8393616.412955286
107,59.036144578313255,8411408.436028238
108,59.47791164658634,8445508.54236456
109,59.91967871485944,8483376.698558053
110,60.36144578313253,8525696.705872033
111,60.803212851405625,8450281.369845364
112,61.24497991967871,8462217.422011556
113,61.68674698795181,8475797.860449534
114,62.1285140562249,8497840.27763437
115,62.57028112449799,8544874.016342798
116,63.01204819277108,8553182.139904326
117,63.45381526104418,8499839.455308763
118,63.89558232931727,8596153.703325208
119,64.33734939759036,8617080.713334562
120,64.77911646586345,8739315.835727502
121,65.22088353413655,8751541.891396128
122,65.66265060240964,8744367.65591324
123,66.10441767068272,8759928.99540827
124,66.54618473895582,8776664.757782899
125,66.98795180722891,8794862.267910397
126,67.429718875502,8815648.577036675
127,67.8714859437751,8737212.59586353
128,68.3132530120482,8748299.805000633
129,68.75502008032129,8752730.766858814
130,69.19678714859438,8762269.586719057
131,69.63855421686748,8783249.472268386
132,70.08032128514057,8803749.156317454
133,70.52208835341366,8824654.89428895
134,70.96385542168674,8847371.77797743
135,71.40562248995984,8874055.641365726
136,71.84738955823293,8908042.81666853
137,72.28915662650601,8954406.062761325
138,72.73092369477911,8945658.750296697
139,73.1726907630522,8965443.633714765
140,73.6144578313253,8978022.34233104
141,74.05622489959839,8937383.63241207
142,74.49799196787149,8979617.322437366
143,74.93975903614458,9024367.989914525
144,75.38152610441767,9044529.640628641
145,75.82329317269077,9062271.106890991
146,76.26506024096385,9078005.65096623
147,76.70682730923694,9092866.552433228
148,77.14859437751004,9106821.424839174
149,77.59036144578313,9120171.62472793
150,78.03212851405623,9133010.493943347
151,78.47389558232932,9145372.075904403
152,78.91566265060241,9157264.251116674
153,79.35742971887551,9168726.377913019
154,79.79919678714859,9179764.454161689
155,80.24096385542168,9190389.892055804
156,80.68273092369478,9200629.293887032
157,81.12449799196787,9210292.937963767
158,81.56626506024097,9219338.789307903
159,82.00803212851406,9227907.761081764
160,82.44979919678715,9236052.680252977
161,82.89156626506023,9243775.46477629
162,83.33333333333333,9251102.889850264
163,83.77510040160642,9257997.416067317
164,84.21686746987952,9264462.979206251
165,84.65863453815261,9270517.626583518
166,85.1004016064257,9276132.363894546
167,85.5421686746988,9281331.38005139
168,85.98393574297188,9286142.871583058
169,86.42570281124497,9290682.355581472
170,86.86746987951807,9289177.581223166
171,87.30923694779116,9290117.573278444
172,87.75100401606426,9309830.184332319
173,88.19277108433735,9330394.23916555
174,88.63453815261045,9276875.449070282
175,89.07630522088354,9277709.258321766
176,89.51807228915662,9277403.843369717
177,89.95983935742971,9275762.126797704
178,90.40160642570281,9272359.16488211
179,90.8433734939759,9266011.730503954
180,91.285140562249,9282850.099404858
181,91.72690763052209,9273906.682760537
