,T,sigma
0,10.0,226.0
1,10.909090909090908,234.0
2,11.818181818181818,232.0
3,12.727272727272727,221.0
4,13.636363636363637,223.0
5,14.545454545454545,235.0
6,15.454545454545453,225.0
7,16.363636363636363,221.0
8,17.272727272727273,224.0
9,18.18181818181818,240.0
10,19.09090909090909,223.0
11,20.0,221.0
12,20.909090909090907,222.0
13,21.81818181818182,221.0
14,22.727272727272727,224.0
15,23.636363636363637,221.0
16,24.545454545454547,246.0
17,25.454545454545453,229.0
18,26.363636363636363,222.0
19,27.272727272727273,223.0
20,28.18181818181818,223.0
21,29.09090909090909,221.0
22,30.0,228.0
23,30.90909090909091,223.0
24,31.818181818181817,225.0
25,32.72727272727273,221.0
26,33.63636363636364,221.0
27,34.54545454545455,221.0
28,35.45454545454545,222.0
29,36.36363636363636,224.0
30,37.27272727272727,223.0
31,38.18181818181818,221.0
32,39.09090909090909,225.0
33,40.0,237.0
34,40.90909090909091,225.0
35,41.81818181818181,222.0
36,42.72727272727273,222.0
37,43.63636363636363,221.0
38,44.54545454545455,243.0
39,45.45454545454545,237.0
40,46.36363636363636,240.0
41,47.27272727272727,245.0
42,48.18181818181818,0.0
43,49.090909090909086,274.0
44,50.0,228.0
45,50.90909090909091,226.0
46,51.81818181818182,0.0
47,52.72727272727273,221.0
48,53.63636363636363,233.0
49,54.54545454545455,233.0
50,55.45454545454545,248.0
51,56.36363636363636,240.0
52,57.27272727272727,257.0
53,58.18181818181818,228.0
54,59.090909090909086,245.0
55,60.0,222.0
56,60.90909090909091,222.0
57,61.81818181818181,241.0
58,62.72727272727273,226.0
59,63.63636363636363,223.0
60,64.54545454545455,223.0
61,65.45454545454545,223.0
62,66.36363636363636,224.0
63,67.27272727272728,224.0
64,68.18181818181819,224.0
65,69.0909090909091,224.0
66,70.0,225.0
67,70.9090909090909,225.0
68,71.81818181818181,226.0
69,72.72727272727272,225.0
70,73.63636363636363,225.0
71,74.54545454545455,226.0
72,75.45454545454545,226.0
73,76.36363636363636,226.0
74,77.27272727272727,226.0
75,78.18181818181817,226.0
76,79.0909090909091,227.0
77,80.0,227.0
78,80.9090909090909,227.0
79,81.81818181818181,227.0
80,82.72727272727272,227.0
81,83.63636363636364,227.0
82,84.54545454545455,228.0
83,85.45454545454545,228.0
84,86.36363636363636,228.0
85,87.27272727272727,228.0
86,88.18181818181817,228.0
87,89.0909090909091,229.0
88,90.0,229.0
89,90.9090909090909,229.0
90,91.81818181818181,229.0
91,92.72727272727272,229.0
92,93.63636363636364,229.0
93,94.54545454545455,228.0
94,95.45454545454545,228.0
95,96.36363636363636,228.0
96,97.27272727272727,228.0
97,98.18181818181817,228.0
98,99.0909090909091,227.0
99,100.0,227.0
